Category,Bahan,Ingredients,Good,Careful,URL Picture
Vegetables,Brokoli,Broccoli,5,10,https://i.pinimg.com/736x/d8/23/2e/d8232e15f9835a7c7607d74ff7bf75a1--les-fruits-free-things.jpg
Vegetables,Labu Siam,Chayote,10,21,https://st.depositphotos.com/1821481/4485/i/600/depositphotos_44855541-stock-photo-green-chayote.jpg
Vegetables,Buncis,Beans,5,7,https://www.pngplay.com/wp-content/uploads/2/Green-Bean-PNG-Pic-Background.png
Vegetables,Sawi Putih,Chinese cabbage,4,14,https://www.nicepng.com/png/detail/94-942850_vegetables-chinese-cabbage-transparent.png
Vegetables,Seledri,Celery,4,14,https://freepikpsd.com/file/2020/03/Celery-PNG-Image.png
Vegetables,Bunga Kol,Cauliflower,7,14,https://freepngimg.com/thumb/categories/2972.png
Vegetables,Kubis,Cabbage,5,7,https://www.seekpng.com/png/full/94-942323_cabbage-png-free-download-cabbage-png.png
Vegetables,Terong,Eggplant,5,7,https://www.pngplay.com/wp-content/uploads/2/Eggplant-Free-PNG.png
Vegetables,Selada,Lettuce,7,10,https://cdn.kibrispdr.org/data/52/daun-selada-png-25.png
Vegetables,Timun,Cucumber,7,14,https://www.pngmart.com/files/5/Cucumbers-PNG-Picture.png
Vegetables,Bayam ,Spinach,4,5,https://drivethru.klikindomaret.com/tk30/wp-content/uploads/sites/33/2021/05/bayar.jpg
Vegetables,Kangkung,Water spinach,4,5,https://img.freepik.com/premium-photo/pile-chinese-morning-glory-isolated-white-background-water-convolvulus-kang-kong-water-spinach_319982-137.jpg?w=2000
Fruits,Jeruk,Orange,7,14,https://media.istockphoto.com/photos/orange-picture-id185284489?k=20&m=185284489&s=170667a&w=0&h=e8ZoHukToTFk2s0EqVBiZxdCs1EIKNGzT865MKU45Es=
Fruits,Apel,Apple,7,10,https://media.istockphoto.com/photos/red-apple-with-leaf-isolated-on-white-background-picture-id185262648?b=1&k=20&m=185262648&s=170667a&w=0&h=2ouM2rkF5oBplBmZdqs3hSOdBzA4mcGNCoF2P0KUMTM=
Fruits,Anggur,Grape,7,14,https://media.istockphoto.com/photos/black-grapes-on-white-background-picture-id1172892916?k=20&m=1172892916&s=170667a&w=0&h=YgVxsrIebpU_dpDPkjJ4ecNrvwxCnZ5HKgI3HTKJLhU=
Fruits,Semangka,Watermelon,5,10,https://media.istockphoto.com/photos/whole-fresh-watermelon-isolated-on-white-picture-id1053210292?b=1&k=20&m=1053210292&s=612x612&w=0&h=imd1yXAFDNleyEUe26ypMoqdsmOjPxaOWK089pbM4eo=
Fruits,Melon,Melon,5,10,https://cdn.kibrispdr.org/data/786/melon-download-3.png
Fruits,Pisang,Banana,5,10,"https://static.wixstatic.com/media/2cd43b_fb245523ec46402c86676b6dba7df4c4~mv2.png/v1/fill/w_320,h_206,q_90/2cd43b_fb245523ec46402c86676b6dba7df4c4~mv2.png"
Fruits,Mangga,Mango,5,10,https://cdn.pixabay.com/photo/2016/11/04/19/49/fruit-1798796_960_720.jpg
Fruits,Durian,Durian,3,5,https://media.istockphoto.com/photos/durian-fruit-solated-on-white-picture-id1329896565?b=1&k=20&m=1329896565&s=170667a&w=0&h=8NZpRA-oYm7zTDwwvikQgTDDmu2z_wybvYRnF_LiRBY=
Fruits,Alpukat,Avocado,3,5,https://img.freepik.com/premium-photo/two-halves-fresh-avocado-isolated-white-space-design-element-product-label-catalog-print_106885-2316.jpg?w=2000
Fruits,Pir,Pear,3,5,https://img.freepik.com/free-photo/fresh-wet-pear-fruit_144627-17211.jpg?w=2000
Fruits,Pepaya,Papaya,3,5,https://img.freepik.com/free-photo/fresh-papaya-fruit_144627-34201.jpg?w=2000&t=st=1661038554~exp=1661039154~hmac=d3cd6761851e846491824093cfc520fa9ed4349fab12123dfddfaef073d4a720
Fruits,Buah Naga,Dragon fruit,2,3,https://img.freepik.com/free-photo/dragon-fruit-white-background_1127-226.jpg?w=2000&t=st=1661038641~exp=1661039241~hmac=a14a1c73999e193aa800d15e14383b6f10c41af387861da4db2ae464b5775a80
Grains & Nuts,Beras yang dimasak,Cooked rice,2,3,https://i.dlpng.com/static/png/7068843_preview.png
Grains & Nuts,Tempe,Tempe,4,7,https://media.istockphoto.com/photos/meat-subsititutes-tempeh-isolated-on-white-background-picture-id1322298724?b=1&k=20&m=1322298724&s=170667a&w=0&h=-ig5srYG1VEJTV-a5ng0OeP_6FlFnFkFmFfkYYgz9aI=
Grains & Nuts,Almond,Almond,90,270,https://cdn.pixabay.com/photo/2021/08/29/17/37/almonds-6583865_960_720.jpg
Grains & Nuts,Mete,Cashew,90,150,https://freepngimg.com/thumb/cashew/9-2-cashew-transparent.png
Grains & Nuts,Biji Wijen,Sesame seeds,90,270,https://www.nicepng.com/png/full/372-3721487_prrr-white-sesame-seeds-png.png
Grains & Nuts,Jagung,Corn,3,5,https://www.freepnglogos.com/uploads/corn-png/corn-only-organic-2.png
Grains & Nuts,Tofu,Tofu,4,7,https://media.istockphoto.com/photos/block-and-cubes-of-tofu-picture-id465944034?b=1&k=20&m=465944034&s=170667a&w=0&h=xpkqkqEkkqNpBjH3Z1-e2mUYiMHd2UMlSebum1ezQH0=
Grains & Nuts,Kacang Tanah,Shelled  Peanuts,90,270,https://diasweethealthy.com/wp-content/uploads/2015/12/12.-Gunakan-Kacang-sebagai-Pengganti-Daging.jpg
Grains & Nuts,Kacang Merah,Red beans,30,60,https://www.pngall.com/wp-content/uploads/5/Kidney-Beans-PNG-Free-Download.png
Grains & Nuts,Kacang Kedelai,Soybeans,90,270,https://img.freepik.com/free-photo/natural-peas_144627-13531.jpg?t=st=1661041166~exp=1661041766~hmac=c101ae5bc1bcb12822c37e714b7ada37de808185958f916020e64e21f7b2c2be
Grains & Nuts,Kacang Polong,Peas,4,7,https://img.freepik.com/free-photo/natural-peas_144627-13531.jpg?w=1060&t=st=1661041440~exp=1661042040~hmac=23801e08e6326e5a403c25c17fe6cc8b68efc227db2ee2763dea6d2865e8b251
Grains & Nuts,Kacang Hijau,Mung beans,90,270,https://img.freepik.com/free-photo/mung-beans-isolated-white-background_93675-132026.jpg?t=st=1661041221~exp=1661041821~hmac=8453ae0a2e2b61ed915c64e0fed35816b39429f2299561631bf990e3d350edae
Tubers,Bengkuang,Jicama,5,10,https://img.freepik.com/free-photo/pachyrhizus-erosus-whole-jicama-isolated-white-background_1205-1707.jpg?w=2000&t=st=1661041508~exp=1661042108~hmac=506a140b7d28e1e6d8e5b2d1471a639ae38194bf204aab6ec48bbe0fd31bd7e5
Tubers,Singkong,Cassava,10,21,https://remixology.com/files/cassava-yuca-mandioca.jpg
Tubers,Ubi Jalar,Sweet potato,10,21,https://img.freepik.com/free-photo/purple-sweet-potato_1205-697.jpg?1&w=2000&t=st=1661041642~exp=1661042242~hmac=6866a2feab9f125cb65acf0f9c002841aa6ba556e883e85a82a60229531840cc
Tubers,Talas,Taro,10,21,https://img.freepik.com/premium-photo/sliced-taro-isolated-white-background_355725-292.jpg?w=2000
Tubers,Lobak,Turnip,10,21,https://images.freeimages.com/images/large-previews/a5c/turnip-1526565.jpg
Tubers,Kentang,Potato,3,10,https://img.freepik.com/free-photo/potato-table_144627-14820.jpg?w=1380&t=st=1661041910~exp=1661042510~hmac=a62362a681b84b4b947d9e52e8b1161b7255157df203c4752668abfb28094251
Tubers,Wortel,Carrot,7,14,https://img.freepik.com/free-photo/baby-carrots_1339-7954.jpg?w=2000&t=st=1661041952~exp=1661042552~hmac=97b342264e14ab7a53806d9c7319480a752a977fc7a5e14fc0dc80e7b2569438
Tubers,Bawang Merah,Red onion,10,21,https://img.freepik.com/free-photo/red-onion-whole-isolated-white_146671-19175.jpg?w=2000&t=st=1661042642~exp=1661043242~hmac=a655ea507196ff04c39d598bb8598c76a4acce35f70c721d051a0a16309ae73b
Tubers,Bawang Putih,Garlic,10,21,https://img.freepik.com/free-photo/garlic-white-surface_144627-45191.jpg?w=2000&t=st=1661042671~exp=1661043271~hmac=3ebf022e703540ae604b36772452e51972c118601f1b098f5e34c186f0f87bf8
Herb and Spices,Asam jawa,Tamarind,10,21,https://img.freepik.com/premium-photo/pile-tamarind-isolated-white-surface_252965-211.jpg?w=2000
Herb and Spices,Kunyit,Turmeric,90,150,https://cdn.pixabay.com/photo/2018/03/22/19/21/turmeric-3251560_960_720.jpg
Herb and Spices,Jahe,Ginger,90,150,https://img.freepik.com/free-photo/bittersweet-ginger_144627-12044.jpg?w=2000&t=st=1661042858~exp=1661043458~hmac=77546dd21c8e1b87ffd1b820461eea2c5fdb07d0b17356bad9818357131b6b7c
